web-scraper-order,web-scraper-start-url,titulo,ano,generos,avaliacao,votos,resumo,link,link-href,tipo,imagem-src
"1662683702-867","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","The Box of Oddities","(2018– )","null","null","null","Is it possible that one of the worlds most precious substances comes from a whale's butt? Of course it is. Also, you think you know all there is to know about Queen Elizabeth II? Guess again, my poor uninformed commoner.","The Box of Oddities","https://www.imdb.com/title/tt17528392/?ref_=adv_li_tt","Série Podcast","https://m.media-amazon.com/images/M/MV5BOGZjMGUwZjAtYmJiOS00YjMzLWI1MzItYTQ0ZjdjZTM5NzMyXkEyXkFqcGdeQXVyMTUyMTUzNjQ0._V1_QL75_UX190_CR0,0,190,190_.jpg"
"1662683705-868","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Rich and Daily","(2021– )","Talk-Show","null","null","It's the recipe for a Royal disaster. Add a brand new edition of the Prince Harry and Meghan Markle book Finding Freedom. Stir in an upcoming blockbuster tell-all by Harry. Now let simmer ...                See full summary »","Rich and Daily","https://www.imdb.com/title/tt15445762/?ref_=adv_li_tt","Série Podcast","https://m.media-amazon.com/images/M/MV5BNGNhYjc0NGUtZDBlNi00MDc1LWE3NmYtZTczMDdiOWNmODNkXkEyXkFqcGdeQXVyMTM1MjI2OTYx._V1_QL75_UX190_CR0,0,190,190_.jpg"
"1662683709-869","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Three Things Must Die!","(2021– )","Documentary, Horror, News","null","null","Old guest Billy Bennett and new guest Matthew Bennett discuss the wonderful world of Oz and the equally (some say NOT equally) wonderful world of Disney. Plus: Queen Elizabeth II and Woody Allen.","Three Things Must Die!","https://www.imdb.com/title/tt14116942/?ref_=adv_li_tt","Série de TV","https://m.media-amazon.com/images/M/MV5BM2JmNzk2YTMtOWE0OS00NzNhLTg3ZTEtNTIwYjM2Y2QxYzBiXkEyXkFqcGdeQXVyMDY3OTcyOQ@@._V1_QL75_UY281_CR46,0,190,281_.jpg"
"1662683713-870","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","The Windsors: A Royal Family","(1994)","Documentary, Biography, History","null","null","The rise to power of Elizabeth II and her self-tasked mission to keep the monarchy safe and as traditional as possible during troubled modern times.","The Windsors: A Royal Family","https://www.imdb.com/title/tt0140695/?ref_=adv_li_tt","Minissérie de televisão","https://m.media-amazon.com/images/M/MV5BMTM1ODE5NjQ0NV5BMl5BanBnXkFtZTcwOTk5MzUyMQ@@._V1_QL75_UY281_CR5,0,190,281_.jpg"
"1662683718-871","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","How We Used to Live","(1968–1996)","History","null","null","Like many families in Britain, the Hodgkins get their first television set in time for Queen Elizabeth II's coronation. The whole family gather to watch the broadcast, including Patricia ...                See full summary »","How We Used to Live","https://www.imdb.com/title/tt0493329/?ref_=adv_li_tt","Série de TV","https://m.media-amazon.com/images/M/MV5BOTk0NDM0MzEtYTUyOS00YjJlLTlmYzMtNDllN2Q5ODViZWFhXkEyXkFqcGdeQXVyNTk4NTIyMDI@._V1_QL75_UY281_CR91,0,190,281_.jpg"
"1662683722-872","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Jake and the Kid","(1995–1999)","Drama","null","null","Crocus's first lottery offers a trip to Queen Elizabeth IIs coronation, and has the townsfolk in a frenzy, including Norma Weathersby, who scoops up tickets in bulk to beat the odds.","Jake and the Kid","https://www.imdb.com/title/tt0112023/?ref_=adv_li_tt","Série de TV","https://m.media-amazon.com/images/M/MV5BNDM5MDI1MjEzOV5BMl5BanBnXkFtZTgwNjczMzgwMzE@._V1_QL75_UY281_CR93,0,190,281_.jpg"
"1662683727-873","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Mind Your Language","(1977–1986)","Comedy","8,1","111","The class becomes excited when Miss Courtney announces that Queen Elizabeth II will be paying a visit to their school. The class members decide to wear what they perceive as their ""national costumes"" to class in honor of the occasion.","Mind Your Language","https://www.imdb.com/title/tt0075537/?ref_=adv_li_tt","Série de TV","https://m.media-amazon.com/images/M/MV5BYmU2YmMyZTctNjc0My00ODc4LTkzYWMtYjdhOTg4NTMxY2ExXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_QL75_UY281_CR1,0,190,281_.jpg"
"1662683730-874","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","The Queen by Rolf","(2006 TV Movie)","Documentary","8,0","14","Rolf Harris painted Queen Elizabeth II as part of the celebrations of her 80th birthday, and this documentary went behind the scenes in the palace as he tried to complete the portrait, to reveal to the press.","The Queen by Rolf","https://www.imdb.com/title/tt1183375/?ref_=adv_li_tt","Filme para televisão","null"
"1662683734-875","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Film: Commissioned for HM Queen Elizabeth II","(2004)","Animation, Short","null","null","A short film commissioned for Her Majesty Queen Elizabeth II. This was the first break after graduating film school for Callum Fairweather. Due to the client being the British Monarchy the ...                See full summary »","Film: Commissioned for HM Queen Elizabeth II","https://www.imdb.com/title/tt4491360/?ref_=adv_li_tt","20042004","null"
"1662683738-876","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Royal Dynasty: Queen Elizabeth II","(2011 Video)","History","null","null","The life of Queen Elizabeth II. has always been marked by ups and downs. It is considered to be the combination of Victorian values, such as the fulfillment of duties and respect and the ...                See full summary »","Royal Dynasty: Queen Elizabeth II","https://www.imdb.com/title/tt7572704/?ref_=adv_li_tt","Vídeo","null"
