web-scraper-order,web-scraper-start-url,numero,titulo,ano,estrelas,resumo,votos,link,link-href,nota,total,votos_avaliacao,foto-src,generos
"1662749001-174","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","42.","Churchill's Secret","(2016 TV Movie)","6,8","British Prime Minister Sir Winston Churchill (Sir Michael Gambon) suffers from a stroke in the summer of 1953, which is consequently kept a secret from the rest of the world.","null","Churchill's Secret","https://www.imdb.com/title/tt4711762/?ref_=kw_li_tt","6,8","/10","1,5 mil","https://m.media-amazon.com/images/M/MV5BZjFlYWJkZTctMjhkOS00ODZlLWI3ZGEtMDc4ZDE0MTY4YmM5XkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_QL75_UY281_CR5,0,190,281_.jpg","Biography, Drama, History"
"1662749006-175","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","41.","Atirando em Peixes","(1997)","6,6","Two con artists' plan to steal enough for a house are twisted when a pretty girl enters the picture.","null","Atirando em Peixes","https://www.imdb.com/title/tt0120122/?ref_=kw_li_tt","6,6","/10","7,7 mil","https://m.media-amazon.com/images/M/MV5BZDY0Yzk0YTItMDNkNC00MjM2LTk0NTAtZWMwNGZkMDA4Y2Q0XkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_QL75_UY281_CR3,0,190,281_.jpg","Comedy, Crime, Romance"
"1662749010-176","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","40.","Apartamento Zero","(1988)","6,8","Set in modern-day Buenos Aires, the film centers around a relationship between two emotionally-crippled roommates. Adrian LeDuc is a lonely sociopath who is forced to rent out his insane ...                See full summary »","null","Apartamento Zero","https://www.imdb.com/title/tt0094667/?ref_=kw_li_tt","6,8","/10","4,1 mil","https://m.media-amazon.com/images/M/MV5BYTNlMzU0OGItNjIyNy00NDUwLWJmYzQtZjE5YTZlNDkwNWQ2XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_QL75_UX190_CR0,1,190,281_.jpg","Drama, Mystery, Thriller"
"1662749014-177","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","39.","Quem está Matando os Grandes Chefes?","(1978)","6,4","One by one, the greatest Chefs in Europe are being killed. Each chef murdered in the same manner that their own special dish is prepared in. Food critics and the (many) self-proclaimed greatest Chefs in Europe demand the mystery be solved.","null","Quem está Matando os Grandes Chefes?","https://www.imdb.com/title/tt0078488/?ref_=kw_li_tt","6,4","/10","2,4 mil","https://m.media-amazon.com/images/M/MV5BZjRiY2QxMjYtODI0MS00ZTBkLWFiZjQtNzA5MTkzNmMzZjkwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX190_CR0,2,190,281_.jpg","Comedy, Crime, Mystery"
"1662749018-178","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","38.","Eskimo Nell","(1975)","4,5","Three young men, a scriptwriter, a producer and a director are called in by Benny U Murdoch, an exotic movie producer. He wants to make a new erotic movie starring a big woman - the ""Eskimo...                See full summary »","null","Eskimo Nell","https://www.imdb.com/title/tt0072953/?ref_=kw_li_tt","4,5","/10","387","https://m.media-amazon.com/images/M/MV5BYTQ1YTJiZjAtMWJmZi00YTdkLTk1MGItMzliZTJiMmQ5NmUxL2ltYWdlXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_QL75_UY281_CR11,0,190,281_.jpg","Comedy"
"1662749022-179","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","37.","O Último Filme de Horror","(1982)","5,5","A New York taxi driver stalks a beautiful actress attending the Cannes Film Festival, which coincides with a series of violent killings of the lady's friends.","null","O Último Filme de Horror","https://www.imdb.com/title/tt0087592/?ref_=kw_li_tt","5,5","/10","1,8 mil","https://m.media-amazon.com/images/M/MV5BZTViMjMyM2EtOTMzNi00MTA5LTlhYTctNjZmZDIwMmQ2MmU3XkEyXkFqcGdeQXVyMTA0MDM0ODY@._V1_QL75_UX190_CR0,3,190,281_.jpg","Comedy, Horror"
"1662749025-180","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","36.","A Felicidade dos Katakuris","(2001)","7,0","A family moves to the country to run a rustic mountain inn when, to their horror, the customers begin befalling sudden and unlikely fates.","null","A Felicidade dos Katakuris","https://www.imdb.com/title/tt0304262/?ref_=kw_li_tt","7,0","/10","9,4 mil","https://m.media-amazon.com/images/M/MV5BMWVhYmFkOWMtZWQ1OC00MjQxLWE4MzEtMjk0NjQwMGE2MWJhXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_QL75_UY281_CR8,0,190,281_.jpg","Comedy, Fantasy, Horror"
"1662749029-181","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","35.","The Journey","(III) (2016)","6,7","During the 2006 Northern Ireland peace talks, Sinn Féin leader Martin McGuinness (Colm Meaney) and Democratic Unionist Party leader Ian Paisley (Timothy Spall) are forced to travel by car together.","null","The Journey","https://www.imdb.com/title/tt4826674/?ref_=kw_li_tt","6,7","/10","1,9 mil","https://m.media-amazon.com/images/M/MV5BMTQxMzNlZGQtYTU0My00NzFmLWE4NmYtODc4Y2Q0OTY2ODk2XkEyXkFqcGdeQXVyMTc4NDkxOA@@._V1_QL75_UY281_CR1,0,190,281_.jpg","Biography, Drama, History"
"1662749032-182","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","34.","Out of the Blue","(I) (2006)","7,1","Based on the Aramoana Massacre that occurred on 13 November and 14 November 1990. Resident David Gray, an unemployed gun collector, went on a rampage in which 13 people were shot dead, before Gray himself was shot by police.","null","Out of the Blue","https://www.imdb.com/title/tt0839938/?ref_=kw_li_tt","7,1","/10","3,6 mil","https://m.media-amazon.com/images/M/MV5BMTQ5Njc5MTU1OV5BMl5BanBnXkFtZTcwNDkxNjgzMQ@@._V1_QL75_UY281_CR5,0,190,281_.jpg","Crime, Drama"
"1662749036-183","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","33.","Agnes de Deus","(1985)","6,6","When a naive novice nun is discovered with a dead newborn in her convent quarters, a court-appointed psychiatrist investigates her case.","null","Agnes de Deus","https://www.imdb.com/title/tt0088683/?ref_=kw_li_tt","6,6","/10","7,6 mil","https://m.media-amazon.com/images/M/MV5BZjcyYWUxNTQtODM5YS00NzkyLTlkODEtMDVlZGYzZjRiZjk3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,4,190,281_.jpg","Drama, Mystery"
"1662749040-184","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","32.","Um Final de Semana em Hyde Park","(2012)","5,9","The story of the love affair between FDR and his distant cousin Margaret ""Daisy"" Suckley, centered around the weekend in 1939 when the King and Queen of the United Kingdom visited upstate New York.","null","Um Final de Semana em Hyde Park","https://www.imdb.com/title/tt1477855/?ref_=kw_li_tt","5,9","/10","12 mil","https://m.media-amazon.com/images/M/MV5BNjU1MzU3Nzc4OF5BMl5BanBnXkFtZTcwOTk5NDI4Nw@@._V1_QL75_UX190_CR0,0,190,281_.jpg","Biography, Comedy, Drama"
"1662749044-185","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","31.","O Defensor - A História de Bert Trautmann","(2018)","7,2","The love story of a young English woman and a German PoW, who together overcome prejudice, public hostility and personal tragedy.","null","O Defensor - A História de Bert Trautmann","https://www.imdb.com/title/tt4642192/?ref_=kw_li_tt","7,2","/10","5,2 mil","https://m.media-amazon.com/images/M/MV5BOGY2ODI0NDMtMmViMS00NGI2LWJlYWQtODk4NzlkNGVmMjU0XkEyXkFqcGdeQXVyNzE1ODI0OTg@._V1_QL75_UY281_CR1,0,190,281_.jpg","Biography, Drama, Romance"
"1662749048-186","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","30.","O quê Vocês Fizeram com Solange?","(1972)","6,9","A teacher who is having an affair with one of his students is reluctant to present an alibi when his lover witnesses the first in a series of murders connected to their school.","null","O quê Vocês Fizeram com Solange?","https://www.imdb.com/title/tt0068416/?ref_=kw_li_tt","6,9","/10","5,4 mil","https://m.media-amazon.com/images/M/MV5BMjc1MGZkNjgtY2UzMS00ZmZjLTgzMzEtYWIzZjBhMDY3NWM0XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UY281_CR6,0,190,281_.jpg","Horror, Mystery, Thriller"
"1662749052-187","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","29.","Um Jogo de Vida ou Morte","(2007)","6,4","On his sprawling country estate, an aging writer matches wits with the struggling actor who has stolen his wife's heart.","null","Um Jogo de Vida ou Morte","https://www.imdb.com/title/tt0857265/?ref_=kw_li_tt","6,4","/10","32 mil","https://m.media-amazon.com/images/M/MV5BYTgyZmQxMmQtMWE0ZC00ZmMyLWI2MzQtYmVjYTE3MGJkZjE2XkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_QL75_UX190_CR0,0,190,281_.jpg","Crime, Drama, Mystery"
"1662749055-188","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","28.","Vale dos Deuses","(2019)","4,5","Entwines Navajo lore with a reclusive trillionaire and his would-be biographer, creating a fascinating, mysterious and idiosyncratic vision of America.","null","Vale dos Deuses","https://www.imdb.com/title/tt4523530/?ref_=kw_li_tt","4,5","/10","955","https://m.media-amazon.com/images/M/MV5BYzAwZjM0NDUtZjg5YS00YTg2LWJkNDctOWNlZWU4YzFjOGQwXkEyXkFqcGdeQXVyMDIzMTg5Mw@@._V1_QL75_UY281_CR5,0,190,281_.jpg","Adventure, Drama, Sci-Fi"
"1662749059-189","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","27.","Monstros, Não Amolem!","(1966)","6,3","The Munsters travel to England after Herman discovers he's the new Lord of the Munster Hall.","null","Monstros, Não Amolem!","https://www.imdb.com/title/tt0060726/?ref_=kw_li_tt","6,3","/10","2,6 mil","https://m.media-amazon.com/images/M/MV5BYzkxMDUxYzgtZDEwMC00MzZkLWE2MzMtMzAzYzFmYTQ3MTE4XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_QL75_UX190_CR0,2,190,281_.jpg","Comedy, Family, Fantasy"
"1662749063-190","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","26.","Acertando o Passo","(2017)","6,7","On the eve of retirement a middle class, judgmental snob discovers her husband has been having an affair with her best friend and is forced into exile with her bohemian sister who lives on an impoverished inner-city council estate.","null","Acertando o Passo","https://www.imdb.com/title/tt4538916/?ref_=kw_li_tt","6,7","/10","6,7 mil","https://m.media-amazon.com/images/M/MV5BMTk1MzE5MDMxOF5BMl5BanBnXkFtZTgwODg5NjY4NDM@._V1_QL75_UX190_CR0,0,190,281_.jpg","Comedy, Drama, Family"
"1662749067-191","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","25.","Uma Lagartixa num Corpo de Mulher","(1971)","6,8","The potentially unhinged daughter of a British politician is accused of killing her hedonistic neighbor after she witnesses the murder in a dream.","null","Uma Lagartixa num Corpo de Mulher","https://www.imdb.com/title/tt0067361/?ref_=kw_li_tt","6,8","/10","5,1 mil","https://m.media-amazon.com/images/M/MV5BZjBmOWVmNzctMGQzNS00MWEyLWI2ZGMtZDEzNzg0Y2QzOTVlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,5,190,281_.jpg","Mystery, Thriller"
"1662749071-192","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","24.","Death to 2021","(2021 TV Special)","6,3","This comedic retrospective mixes archival footage and scripted sketches as it revisits all the dread and occasional delight that 2021 had to offer.","null","Death to 2021","https://www.imdb.com/title/tt16301388/?ref_=kw_li_tt","6,3","/10","15 mil","https://m.media-amazon.com/images/M/MV5BOGJiYzgxMmMtY2VmMy00ZmZiLTk0OTQtZTI3MzVhYmZmZWU1XkEyXkFqcGdeQXVyMTE5MTkxMDI2._V1_QL75_UY281_CR18,0,190,281_.jpg","Comedy"
"1662749074-193","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","23.","Correndo com Tesouras","(2006)","6,1","Young Augusten Burroughs absorbs experiences that could make for a shocking memoir: the son of an alcoholic father and an unstable mother, he's handed off to his mother's therapist, Dr. Finch, and spends his adolescent years as a member of Finch's bizarre extended family.","null","Correndo com Tesouras","https://www.imdb.com/title/tt0439289/?ref_=kw_li_tt","6,1","/10","23 mil","https://m.media-amazon.com/images/M/MV5BODdiNzg1NTEtZDQ0Ny00YjA1LTg5ZDktOWRhZTk3YTVkMTcwXkEyXkFqcGdeQXVyMjcwMzM0OTI@._V1_QL75_UX190_CR0,2,190,281_.jpg","Comedy, Drama"
"1662749078-194","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","22.","Adorável Júlia","(2004)","7,0","Set in 1930s London, this movie involves stage actors and actresses and their experiences with love and revenge.","null","Adorável Júlia","https://www.imdb.com/title/tt0340012/?ref_=kw_li_tt","7,0","/10","13 mil","https://m.media-amazon.com/images/M/MV5BODQ2NDIxMjcwN15BMl5BanBnXkFtZTYwODMzOTI3._V1_QL75_UY281_CR1,0,190,281_.jpg","Comedy, Drama, Romance"
"1662749082-195","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","21.","Terra Tranquila","(1985)","6,7","A man named Zac Hobson awakens to find himself alone in the world. In a desperate attempt to search for others, he finds only two who have their own agenda.","null","Terra Tranquila","https://www.imdb.com/title/tt0089869/?ref_=kw_li_tt","6,7","/10","26 mil","https://m.media-amazon.com/images/M/MV5BMWNlY2UxYWUtZTIwMS00NmFjLTg3M2EtM2Q3MWRmZjIwYWZiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX190_CR0,2,190,281_.jpg","Drama, Mystery, Sci-Fi"
"1662749086-196","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","20.","Um Bom Partido","(2012)","5,7","A former sports star who's fallen on hard times starts coaching his son's football team as a way to get his life together. His attempts to become an adult are met with challenges from the attractive football moms who pursue him at every turn.","null","Um Bom Partido","https://www.imdb.com/title/tt1540128/?ref_=kw_li_tt","5,7","/10","30 mil","https://m.media-amazon.com/images/M/MV5BZmI0ZWIxYjMtMjZiZS00MWZhLWFjOTEtYzdmODllOWIwYzQwXkEyXkFqcGdeQXVyMjcwMzM0OTI@._V1_QL75_UX190_CR0,2,190,281_.jpg","Comedy, Romance, Sport"
"1662749089-197","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","19.","Devagar, Não Corra","(1966)","6,6","During the housing shortage of the Summer Olympic Games in 1964, two men and a woman share a small apartment in Tokyo, and the older man soon starts playing Cupid to the younger pair.","null","Devagar, Não Corra","https://www.imdb.com/title/tt0061170/?ref_=kw_li_tt","6,6","/10","4,2 mil","https://m.media-amazon.com/images/M/MV5BMDc5ZDVlMWUtZWQ2Yi00ZjNiLTk1YWUtYjNlN2M2ZjViNDZlL2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_QL75_UY281_CR1,0,190,281_.jpg","Comedy, Romance"
"1662749094-198","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","18.","O Último Vice-Rei","(2017)","6,7","The final Viceroy of India, Louis Francis Albert Victor Nicholas Mountbatten, 1st Earl Mountbatten of Burma (Hugh Bonneville), is tasked with overseeing the transition of British India to independence, but meets with conflict as different sides clash in the face of monumental change.","null","O Último Vice-Rei","https://www.imdb.com/title/tt4977530/?ref_=kw_li_tt","6,7","/10","8 mil","https://m.media-amazon.com/images/M/MV5BMTk5ODU2NzExMF5BMl5BanBnXkFtZTgwOTI2ODkwMTI@._V1_QL75_UX190_CR0,0,190,281_.jpg","Biography, Drama, History"
"1662749097-199","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","17.","Gemma Bovery - A Vida Imita a Arte","(2014)","6,4","Martin, an ex-Parisian well-heeled hipster passionate about Gustave Flaubert who settled into a Norman village as a baker, sees an English couple moving into a small farm nearby. Not only ...                See full summary »","null","Gemma Bovery - A Vida Imita a Arte","https://www.imdb.com/title/tt2788556/?ref_=kw_li_tt","6,4","/10","6,4 mil","https://m.media-amazon.com/images/M/MV5BNzNkMzdiMGYtZTYzNC00ZjE3LWEwODQtMmUwNDNkNjljYmQ0XkEyXkFqcGdeQXVyNDU0NjMyNTQ@._V1_QL75_UX190_CR0,0,190,281_.jpg","Comedy, Drama, Romance"
"1662749101-200","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","16.","Salve-me Quem Puder","(1986)","5,9","An American computer wiz who works at a New York bank is suddenly thrust into the world of international espionage after she inadvertently receives a coded message from a British spy.","null","Salve-me Quem Puder","https://www.imdb.com/title/tt0091306/?ref_=kw_li_tt","5,9","/10","20 mil","https://m.media-amazon.com/images/M/MV5BMDJmYjMxODgtZjgwMi00N2E0LWE0N2UtMzhjMmJkNGZiNDNhXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_QL75_UX190_CR0,5,190,281_.jpg","Comedy, Romance, Thriller"
"1662749105-201","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","15.","Se...","(1968)","7,4","In this allegorical story, a revolution led by pupil Mick Travis takes place at an old established private school in England.","null","Se...","https://www.imdb.com/title/tt0063850/?ref_=kw_li_tt","7,4","/10","24 mil","https://m.media-amazon.com/images/M/MV5BMDIxYTMxMjYtODVkZi00ZDE3LThiNTctMmM5YTg2NzlkMGI0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_QL75_UX190_CR0,4,190,281_.jpg","Crime, Drama"
"1662749109-202","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","14.","Os Produtores","(2005)","6,3","After putting together another Broadway flop, down-on-his-luck producer Max Bialystock teams up with timid accountant Leo Bloom in a get-rich-quick scheme to put on the world's worst show.","null","Os Produtores","https://www.imdb.com/title/tt0395251/?ref_=kw_li_tt","6,3","/10","43 mil","https://m.media-amazon.com/images/M/MV5BMjA3NjAyNzg2OF5BMl5BanBnXkFtZTcwOTIyMDUzMQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg","Comedy, Crime, Musical"
"1662749112-203","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","13.","Amor Impossível","(2011)","6,8","A fisheries expert is approached by a consultant to help realize a sheik's vision of bringing the sport of fly-fishing to the desert and embarks on an upstream journey of faith and fish to prove the impossible possible.","null","Amor Impossível","https://www.imdb.com/title/tt1441952/?ref_=kw_li_tt","6,8","/10","65 mil","https://m.media-amazon.com/images/M/MV5BMTYxMzA2NTU5MF5BMl5BanBnXkFtZTcwMjI0MDI0Nw@@._V1_QL75_UX190_CR0,2,190,281_.jpg","Comedy, Drama, Romance"
"1662749116-204","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","12.","Sid & Nancy, o Amor Mata","(1986)","7,0","The relationship between Sid Vicious, bassist for British punk group Sex Pistols, and his girlfriend Nancy Spungen is portrayed.","null","Sid & Nancy, o Amor Mata","https://www.imdb.com/title/tt0091954/?ref_=kw_li_tt","7,0","/10","33 mil","https://m.media-amazon.com/images/M/MV5BYzRiODJiYjMtN2RiNy00NGVhLWJlN2MtODc4ZThiMGJmYzk0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg","Biography, Drama, Music"
"1662749120-205","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","11.","Juventude","(I) (2015)","7,3","A retired orchestra conductor is on vacation with his daughter and his film director best friend in the Alps when he receives an invitation from Queen Elizabeth II to perform for Prince Philip's birthday.","null","Juventude","https://www.imdb.com/title/tt3312830/?ref_=kw_li_tt","7,3","/10","79 mil","https://m.media-amazon.com/images/M/MV5BMjI2OTk5MzYyMl5BMl5BanBnXkFtZTgwMzY1MjE3NjE@._V1_QL75_UX190_CR0,0,190,281_.jpg","Comedy, Drama, Music"
"1662749124-206","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","10.","T2: Trainspotting","(2017)","7,2","After 20 years abroad, Mark Renton returns to Scotland and reunites with his old friends Sick Boy, Spud, and Begbie.","null","T2: Trainspotting","https://www.imdb.com/title/tt2763304/?ref_=kw_li_tt","7,2","/10","124 mil","https://m.media-amazon.com/images/M/MV5BMjI0MTE1ODkzMl5BMl5BanBnXkFtZTgwMTQ1MTg5MDI@._V1_QL75_UX190_CR0,0,190,281_.jpg","Drama"
"1662749127-207","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","9.","Um Peixe Chamado Wanda","(1988)","7,5","In London, four very different people team up on a jewel heist, then try to double-cross one another for the loot, complicated by their efforts to fool a very proper barrister.","null","Um Peixe Chamado Wanda","https://www.imdb.com/title/tt0095159/?ref_=kw_li_tt","7,5","/10","142 mil","https://m.media-amazon.com/images/M/MV5BNTQ0ODhiNjEtMDFiYi00NmZhLWJkMzQtNTBkOGQwOTliZDAxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,2,190,281_.jpg","Comedy, Crime"
"1662749131-208","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","8.","O Jardineiro Fiel","(2005)","7,4","A widower is determined to get to the bottom of a potentially explosive secret involving his wife's murder, big business, and corporate corruption.","null","O Jardineiro Fiel","https://www.imdb.com/title/tt0387131/?ref_=kw_li_tt","7,4","/10","141 mil","https://m.media-amazon.com/images/M/MV5BMDY4MzdiMmItYzY1Ny00NjhkLTk4NzQtZDEzYjJiYTE0MzQyXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_QL75_UX190_CR0,2,190,281_.jpg","Drama, Mystery, Romance"
"1662749136-209","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","7.","Todos os Homens do Presidente","(1976)","7,9","""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.","null","Todos os Homens do Presidente","https://www.imdb.com/title/tt0074119/?ref_=kw_li_tt","7,9","/10","115 mil","https://m.media-amazon.com/images/M/MV5BYjdiYmQyYmQtNGVmNS00NGNhLTg5ZTAtYTlkZGEzN2QwOWNkXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_QL75_UY281_CR4,0,190,281_.jpg","Drama, History, Thriller"
"1662749140-210","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","6.","Um Lobisomem Americano em Londres","(1981)","7,5","Two American college students on a walking tour of Britain are attacked by a werewolf that none of the locals will admit exists.","null","Um Lobisomem Americano em Londres","https://www.imdb.com/title/tt0082010/?ref_=kw_li_tt","7,5","/10","106 mil","https://m.media-amazon.com/images/M/MV5BMDY1ZTFhNjktYzljNC00ZjQ0LWJmYzItNGJlOWVjNzg1M2MyXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_QL75_UY281_CR4,0,190,281_.jpg","Comedy, Horror"
"1662749145-211","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","5.","Eurotrip: Passaporte para a Confusão","(2004)","6,6","Dumped by his girlfriend, a high school grad decides to embark on an overseas adventure in Europe with his friends.","null","Eurotrip: Passaporte para a Confusão","https://www.imdb.com/title/tt0356150/?ref_=kw_li_tt","6,6","/10","210 mil","https://m.media-amazon.com/images/M/MV5BOWVhOWQ3NDgtMTczYi00OTJhLWFmMWEtY2JlMGI5OWE5MDJmXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_QL75_UY281_CR4,0,190,281_.jpg","Comedy"
"1662749149-212","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","4.","12 Heróis","(2018)","6,5","12 Strong tells the story of the first Special Forces team deployed to Afghanistan after 9/11; under the leadership of a new captain, the team must work with an Afghan warlord to take down the Taliban.","null","12 Heróis","https://www.imdb.com/title/tt1413492/?ref_=kw_li_tt","6,5","/10","81 mil","https://m.media-amazon.com/images/M/MV5BYjFmZjI3YjUtOWFjYS00ZTRiLTllM2MtNzk3M2UzZDM0ZGVkXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UY281_CR1,0,190,281_.jpg","Action, Drama, History"
"1662749153-213","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=1&sort=moviemeter,asc","3.","O Jogo da Imitação","(2014)","8,0","During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life.","null","O Jogo da Imitação","https://www.imdb.com/title/tt2084970/?ref_=kw_li_tt","8,0","/10","761 mil","https://m.media-amazon.com/images/M/MV5BNWQ1NjQxN2YtNDUyMi00MjA3LTgxMDEtZTY5MjBhZGZlNTVlXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_QL75_UY281_CR1,0,190,281_.jpg","Biography, Drama, Thriller"
